dorsal;biker;club;time
4515;Christopher Bauer;Independiente;00:00:00
2017;Mary White;Independiente;00:00:00
116;Melissa Olson;Independiente;00:00:00
1469;Joshua Klein;Independiente;00:00:00
4536;Maurice Castro;Independiente;00:00:00
1810;Michael Baker;EL BICHO ;00:00:00
1247;Chad Chase;Independiente;00:00:00
4625;Jonathan Caldwell;Independiente;00:00:00
91;Roberto Powell;Independiente;00:00:00
5320;Sarah Hansen;Independiente;00:00:00
440;Chase Porter;Club ciclista Alcañiz;00:00:00
2207;Victoria Perez;Independiente;00:00:00
3058;Michael Marshall;Independiente;00:00:00
2287;Debbie Hess;Independiente;00:00:00
253;Luke Arnold;Club Ciclista Frafa;00:00:00
4888;Chad Vaughn;Independiente;00:00:00
789;Mary Ramos;Independiente;00:00:00
4910;Michael Cole;Independiente;00:00:00
2449;Samuel Reid;MTB LOBOS ZARAGOZA ;00:00:00
3223;Valerie Miller;Independiente;00:00:00
4911;Christian Smith;Independiente;00:00:00
3769;Alexander Conrad;Independiente;00:00:00
1189;Mark Morgan;Independiente;00:00:00
3106;Leonard Burke;MTB Tanos;00:00:00
4125;Linda Garza;Independiente;00:00:00
28;Patricia Chen;CLUB ;00:00:00
5578;Dana Hampton;Independiente;00:00:00
32;Sarah Jackson MD;Ermuko T.E ;00:00:00
5208;Jay Brown;Independiente;00:00:00
736;Andrew Singh;Independiente;00:00:00
3429;Gary Wagner;Independiente;00:00:00
4596;Tracy Little;C.D. Girls On Fire ;00:00:00
639;Destiny Miller;Anaitasuna MB;00:00:00
367;Steven Moran;Independiente;00:00:00
4509;Kimberly Key;Independiente;00:00:00
5288;Anita Rice;Independiente;00:00:00
1455;Laura Barnett;Club Ciclista Sariñena ;00:00:00
5442;Paul Roberts;Independiente;00:00:00
1655;Casey Gates;Independiente;00:00:00
425;Natalie Aguilar;Tri+9;00:00:00
1029;Dylan Barnes;Independiente;00:00:00
859;Jennifer Wood;SEBB ;00:00:00
4686;Scott Hendrix;Independiente;00:00:00
4956;Brian King;Independiente;00:00:00
1472;Alan Hampton;CLUB ciclista Sariñena ;00:00:00
4714;Cassandra Ferguson;Independiente;00:00:00
3627;Jeanne Dean;Independiente;00:00:00
49;Michael Proctor;Independiente;00:00:00
5556;Carolyn Mitchell;Independiente;00:00:00
2323;Kimberly Warren;Independiente;00:00:00
5093;Sarah Palmer;Independiente;00:00:00
2565;Angela Taylor;Independiente;00:00:00
1233;Patrick Boyd;Independiente;00:00:00
558;Sheila Monroe;Independiente;00:00:00
1405;James Martinez;Independiente;00:00:00
2791;Patricia Chen;Independiente;00:00:00
4280;Stephen Estrada;Mala Noche ;00:00:00
5001;James Bailey;Independiente;00:00:00
1416;Margaret Petersen;CC Sariñena;00:00:00
188;Jacqueline Garcia;Imeca cycling team ;00:00:00
1462;Daniel Byrd;Independiente;00:00:00
4703;Taylor Flores;Independiente;00:00:00
5104;John Meyer;Independiente;00:00:00
1684;Stacy Vargas;Independiente;00:00:00
740;Michael Jones;CLUB UNÎCA CICLISME PALAU;00:00:00
667;Dylan Martinez MD;Independiente;00:00:00
